user,user_location,text,favorite_count,retweet_count
✿,Jalisco ,RT @FresYas: Grocery store workers should get the COVID vaccine next since they’ve been out here at the forefront of fighting anti-maskers…,0,127
Mohit_official,"New Delhi/ Mangalore, India ","RT @MissVLindelle: TODAY WAS A GOOD DAY

I got my first round of the covid vaccine!!

My second round is in 4 weeks, and I suggest you pre-…",0,5
Vashti Fox Lewis,,"RT @joncoopertweets: As of now, the Publix supermarket chain in Florida is only offering the Covid vaccine in counties that were won by Rep…",0,717
The Real Pickles 🥒,In Your Head!,RT @Fgbrisco: Me after I get my COVID vaccine. https://t.co/rnaPvf2Bzp,0,54
Peggy Anne List,http://gabbiash.com/pghpa.html,"WARNING: COVID ‘Vaccine’ KILLS DOZENS, PARALIZES Even More - https://t.co/Caf17JksbT",0,0
SDG2030,No Planet B ,"RT @DrWaheedArian: No problem, we can use EMLA 'magic cream'. It works like magic, ask kids who had injections/blood tests. Keep the vaccin…",0,1
jen | Believer that BLACK LIVES MATTER,"Washington, USA","RT @AlternateUSFW: If your afraid of the “risks” of getting the COVID vaccine, why aren’t you afraid of the risks of contracting COVID? We…",0,1
मैं भी किसान,,"RT @thetribunechd: #Covidvaccine inoculation: #Delhi reports 52 adverse events, #Haryana 13 https://t.co/wq08ewF8IC",0,34
Dr Wondi Alemu,"Atlanta, GA, USA ","RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
Harmonic Resonation 999,,RT @RobertKennedyJr: #Norway health officials have “adjusted their advice” after reporting that 23 #elderly people died shortly after recei…,0,1132
Lori D. 🇺🇸,,"RT @joncoopertweets: As of now, the Publix supermarket chain in Florida is only offering the Covid vaccine in counties that were won by Rep…",0,716
Jesse Luna,,"RT @smotus: Two presidencies today

Biden: ""Here's my plan for getting the Covid vaccine distributed quickly and rebuilding the economy.""…",0,19129
Ravindra Anaspure,Maharashtra,"RT @ravindranaspure: Rahul Gandhi raised doubts on govt’s effort to roll out Covid vaccine.

But on a day when India undertakes the #Larges…",0,1
"DEER PARK AUTO PARTS, AND GROCERY","Jonestown, Mississippi ","RT @NYTHealth: A 56-year-old doctor developed a rare blood disorder a few days after a shot of Pfizer's Covid vaccine, and died 2 weeks lat…",0,4
Angela Attebury,Ranch,RT @FatEmperor: It's a bugger when the main cohort who need protection are the ones maybe not able to get it. One wonders where this is goi…,0,15
newsradio 710,"Mobile, AL","As of Friday (January 15), 31 million doses of vaccine have been distributed and 12 million doses have been given to people. https://t.co/sKhvALW0hn",0,0
jul,Mexico,"RT @bloomthisway: She took covid vaccine a week ago....... She is from UK and a very real person....
God!!! 
,😱😱🥺🥺
https://t.co/HzM8H7iQFL",0,45
Natashenka kolter,"Calgary, Alberta","RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,19
Lupita,dream of californication,RT @richard_waithe: Charles Barkley giving his take on NBA players jumping to the front of the line to get a COVID vaccine https://t.co/XUk…,0,268
(1/2 )MC²,"Ntfonjeni, Eswatini 🇸🇿","RT @UebertAngel: Mainstream Media silent after 23 people die after COVID VACCINE.

Posting This will be treated as MISINFORMATION! https://…",0,20
Sarah (chez moi),"Detroit-adjacent, MI, USA","RT @dananessel: After speaking with my local health department, turns out 2020 having aged me 25 years still does not qualify me for the Co…",0,78
❄️Snow Miser❄️,757,RT @NoyahKing: We will have to get the COVID vaccine yearly like we have to get the flu. There is also a misconception about the vaccine th…,0,18
角ガチ恋海外ネキ🐉,ココ会長の 陰毛,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
Jen Zilgme,western NY,"RT @dananessel: After speaking with my local health department, turns out 2020 having aged me 25 years still does not qualify me for the Co…",0,78
Lana Montgomery,,"RT @smotus: Two presidencies today

Biden: ""Here's my plan for getting the Covid vaccine distributed quickly and rebuilding the economy.""…",0,19129
Kat Tompkins,,"RT @joncoopertweets: As of now, the Publix supermarket chain in Florida is only offering the Covid vaccine in counties that were won by Rep…",0,716
Michael Knowles,"Xs in TX, so hang my 🎩 in TN",Well that's not good. https://t.co/HAQlNdhGcu,24,6
Zone Left,,"RT @WADeptHealth: If you work in healthcare, get your COVID vaccine now to avoid longer lines and higher demand for appointments. There are…",0,119
Qazi K Minto,"Nizamuddin East, New Delhi",Inside Track: PMO for Patch-Up https://t.co/WyhySxrGHS,0,0
BigDoctorJ999,,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
Marge Lucyk,"Scottsdale,  AZ ",Archbishop Viganò on the Promotion of the COVID Vaccine by the Vatican https://t.co/xMiNwNJKw1,0,0
christine⁷,she/her,I just........made an appointment for my COVID vaccine oh my god I could cry??,1,0
Patrick Mauro,"Oak Brook, IL",Bloomberg counted up the shots administered in 51 countries and 59 U.S. states and territories https://t.co/s76mtkIlJL via @bbgvisualdata,0,0
Carol Dailey,"Elizabeth Twp.,  Pa  15037","RT @KDKA: A World War II veteran got his COVID vaccine on January 8 in New Orleans, Louisiana, and it's something he's spent much of the qu…",0,3
#25A/#14thA-REMOVE TRUMP!⚖️,Jersey girl. Fuhgeddaboutit!,"RT @dananessel: After speaking with my local health department, turns out 2020 having aged me 25 years still does not qualify me for the Co…",0,78
Bern,"Edmonton, Alberta","RT @sarahfrasermd: I got the first dose of my COVID vaccine yesterday. Other than some arm tenderness, I feel totally fine. The Phase III M…",0,2
cindy tuton,"Everett, MA","RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
Andy Heppelle He/Him #BlackLivesMatter,"San Francisco, California","RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
Paula,"Ontario, Canada","RT @tylerwatt90: Some nurses in Ottawa have had their 2nd #COVID vaccine dose unexpectedly cancelled. With over 100,000 vaccines sitting in…",0,197
Cameron Renilson,Top End of Down Under,"Will be required to do everything by ‘22. 

Ex-CDC chief Dr. Tom Frieden on mandatory Covid vaccine passports https://t.co/mOn3kfLxhu",0,0
Montana Gal,,"RT @dananessel: After speaking with my local health department, turns out 2020 having aged me 25 years still does not qualify me for the Co…",0,78
Pat Taylor,,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
"Janine M. Ziermann, PhD","Washington, DC","RT @DrNeilStone: Can we all just definitively agree that not a single dose of Covid vaccine should be wasted, and that if any are left over…",0,299
Norma Knudsen,,"RT @joncoopertweets: As of now, the Publix supermarket chain in Florida is only offering the Covid vaccine in counties that were won by Rep…",0,716
Lyn Carpenter,"Dallas, TX",RT @USA_Anne711: 💥 💥United States Deaths due to COVID Vaccine 👇👇55 People Died in US After Receiving COVID-19 Vaccines: Reporting System ht…,0,50
Gilbert Romero,PHX 🌵,RT @ladawn: It’s kind of weird to me that restaurant workers aren’t higher on the COVID vaccine priority list.,0,1
Rich Thorpe,Ottawa via Prescott Ontario,@BrnrJohn @StephenKing @PeaktvC Kind of like the Covid vaccine program John?,0,0
Gabe Goodwin,"Los Angeles, CA",Would it surprise anyone if “Dr. Galazkiewitz” was the expert running covid vaccine logistics? https://t.co/gOJj2so8t5,0,0
Deepjyoti Das,,"RT @pbhushan1: ""A total 23 people died within days of receiving their first dose, the Norwegian Medicines Agency announced in a statement"".…",0,1301
Doyle,,RT @DrTomFrieden: It may be sensible for people to easily show proof they've received a vaccine. But any vaccine certificate should be opti…,0,14
She came undone,A creepy basement.,"RT @joncoopertweets: As of now, the Publix supermarket chain in Florida is only offering the Covid vaccine in counties that were won by Rep…",0,716
"Bob Duff, Senate Majority Leader, CT","Norwalk, CT","RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4449
Lory Masters 🇺🇸😎🏳️‍🌈⛑🦜,"Dallas, TX","RT @KRLD: Power outage causes 165 doses of COVID vaccine to be thrown out
https://t.co/v7XgxAs9PZ",0,1
XSP,,"RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,19
noel cole,,RT @9NewsAUS: Norway has adjusted its advice on who can receive the COVID vaccine following the deaths of 13 nursing home residents after g…,0,20
novofin4,,RT @TIME: TIME's new global cover: Inside the vaccine revolution https://t.co/2IxxQ7WgEz https://t.co/Et3yavdqMD,0,723
Jack,,"RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,19
Stonbirk07,"London, England","RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,19
Dee⁷,Disneyland,"RT @jordann_mejia: OH NO I GOT MY 2ND DOSE OF THE COVID VACCINE AND I HAVE SO MANY SIDE EFFECTS😰 THEY INCLUDE:

1. Being a boss ass bitch
2…",0,20
Vikas dangi,"Gurgaon, India","RT @AneeshaBedi: 52 adverse event after Covid vaccine reported in Delhi on first day of immunisation drive

While 51 cases were minor, a se…",0,49
Vikas dangi,"Gurgaon, India","RT @thetribunechd: #Covidvaccine inoculation: #Delhi reports 52 adverse events, #Haryana 13 https://t.co/wq08ewF8IC",0,34
Kim88sa,,"RT @joncoopertweets: As of now, the Publix supermarket chain in Florida is only offering the Covid vaccine in counties that were won by Rep…",0,716
Fast Kashmir,"Srinagar, India","Covid-19: After Covid vaccine jab AIIMS’ security guard in ICU

https://t.co/SoXnlUnbqO",0,0
Karahnn🏋🏽‍♀️,"Connecticut, USA",Covid vaccine pointless,0,0
From Where I Sit,Seattle Washington,"RT @NYTHealth: A 56-year-old doctor developed a rare blood disorder a few days after a shot of Pfizer's Covid vaccine, and died 2 weeks lat…",0,4
Jerry Clifford,,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
Michael Ray Vines,North Carolina,RT @Alyssa_Milano: Trump wants billions cut from global Covid vaccine distributor https://t.co/FNzrkSGNsK,0,183
Daniel Nasr🇪🇬,"Bellflower, CA",Researchers are claiming the effectiveness of the COVID vaccine actually increases if you post about it,0,0
isthisthingon L.L.,"Seoul, Republic of Korea","RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
Colleen 😷,"New York Back the ""f"" off 😖","RT @joncoopertweets: As of now, the Publix supermarket chain in Florida is only offering the Covid vaccine in counties that were won by Rep…",0,716
Brenna Rose,Ohio ,"RT @smotus: Two presidencies today

Biden: ""Here's my plan for getting the Covid vaccine distributed quickly and rebuilding the economy.""…",0,19129
HopingHealth,Worldwide,Covid vaccine patients treated to live organ music at Salisbury Cathedral https://t.co/itJsLm4in1,0,0
Heorte Sear,,Covid vaccine patients treated to live organ music at Salisbury Cathedral https://t.co/VPeFUvDFYo,0,0
2GO_Health,whole world,Covid vaccine patients treated to live organ music at Salisbury Cathedral https://t.co/yG2IWSsoKo,0,0
Adrienne Barnes,,Covid vaccine patients treated to live organ music at Salisbury Cathedral https://t.co/jsrXN93RYb,0,0
Todd A. Atkins,drela house #2   street#34,Covid vaccine patients treated to live organ music at Salisbury Cathedral https://t.co/oj6XRhk3SE,0,0
John Farmer,"Herndon, VA","RT @FairfaxCountyPD: If you decide to share your COVID vaccine photo on social media, please consider covering your date of birth and patie…",0,109
Anthony Budney,,RT @Fgbrisco: Me after I get my COVID vaccine. https://t.co/rnaPvf2Bzp,0,54
BarbaraFriedkin BLM,The World,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
MapleSnow #BlackLivesMatter,Canada,"RT @AllergyKidsDoc: Arrival of #COVID vaccines is very exciting &amp; light at end of the tunnel is getting brighter.

But...

-Vaccines don’t…",0,220
Nick Odiase Jr.,"Galveston, TX","RT @DrNeilStone: Can we all just definitively agree that not a single dose of Covid vaccine should be wasted, and that if any are left over…",0,299
MAP89,"Carlton, MN",RT @middleageriot: Anyone who refused to wear a mask should only be allowed to receive the COVID vaccine anally using a cactus.,0,108
Niram Sin AL-ZEEBAREE,"Victoria, Australia","RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
TBone,,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
Hi Mynameis Nick,everywhere,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
Lexxi,,"RT @smotus: Two presidencies today

Biden: ""Here's my plan for getting the Covid vaccine distributed quickly and rebuilding the economy.""…",0,19129
Anita,,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
mimshow ‘¡no puedo respirar!’,"Marysville, MI","RT @dananessel: After speaking with my local health department, turns out 2020 having aged me 25 years still does not qualify me for the Co…",0,78
rolos mummy,North Wales,"RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,19
Carrots @🏠,United States,"RT @joncoopertweets: As of now, the Publix supermarket chain in Florida is only offering the Covid vaccine in counties that were won by Rep…",0,716
Jon Brennan,"Nashville, TN",RT @Fgbrisco: Me after I get my COVID vaccine. https://t.co/rnaPvf2Bzp,0,54
Natasha Samani,"Udupi, India",RT @omar_quraishi: The official Twitter account of Pakistan’s ruling party responds after the Govt came in for criticism  for not acting qu…,0,6
joannn,in bed ,RT @chellaphant: seeing all of my friends grow makes me so HAPPY like yes flex ur new car!!! ur house hunting snaps!!!! ur new job!!! ur co…,0,33
Sanam,"Los Angeles, CA",Does the covid vaccine cause overwhelming anxiety &amp; crippling depression? Becauseeeee... oh.. wait. Nvm.,0,0
Deb,,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4450
நெம்புகோல்,"Tamil Nation, Blue Planet",RT @Rita_Banerji: A nurse in Kolkata fell unconscious and had to be hospitalized after taking the covid vaccine. Doctors are trying to conv…,0,14
Marge Lucyk,"Scottsdale,  AZ ","RT @MattGaspers: Abp. Carlo Maria #Viganò comments on @Pontifex's promotion of universal vaccination, contrasting the Pope's rather dogmati…",0,34

Greg Johansen 🏳️‍🌈🎾🇨🇦(🏠307),"Calgary, Alberta","RT @tylerwatt90: Some nurses in Ottawa have had their 2nd #COVID vaccine dose unexpectedly cancelled. With over 100,000 vaccines sitting in…",0,213
Dr🅰️n🅰️ FamilyNameTooHardTo🅿️ronounce🩺💉🔬🩸❤️,"London, England",RT @DrEricDing: BREAKING—UK🇬🇧 Cabinet minister Dominic Raab has refused to guarantee that all people who have received first dose of corona…,0,1197
Rhalf Tenorio,"Talaibon, Ibaan, Batangas",@DrTonyLeachon Doc. Sana po ay may webinar about the CoVid Vaccine to be fully inform po kami especially health care worker. For our health teachings and advice to the patient and public. Thanks po,0,0
Dr Kelly Bauer,los angeles,RT @cavi11al: I finally got the 1st dose of the covid vaccine this week. No side effects other than 2-day small soreness. This is just the…,0,1
Orion-Actual N.Esq,Neverland,"RT @akoi_Jam: two journalists detained by police in manipur for publishing an article. also, the chief minister of manipur warned of stern…",0,4
RoBeezy🦉🏁,BLACK LIVES MATTER,"RT @LegionHoops: Kareem Abdul-Jabbar will receive the COVID vaccine as part of the NBA’s efforts to promote vaccinations, reports @MarkG_Me…",0,180
Helen Bray 💙,,"RT @JujuliaGrace: Just poured myself a strong cup of coffee and sat down at my desk.

This government needs to be held to account at every…",0,605
Ed Coe,,"RT @thehill: Incoming Biden chief of staff on COVID vaccine rollout: ""We're inheriting a huge mess"" https://t.co/IwOIYx33Ps https://t.co/Wg…",0,84
onahunttoday,USA,"RT @thehill: Incoming Biden chief of staff on COVID vaccine rollout: ""We're inheriting a huge mess"" https://t.co/jOl6J6Lkax https://t.co/is…",0,97
